Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Disease
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,,,,,,,,,,,angine
douleur_thoracique,essoufflement,expectorations,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
douleur_abdominale_droite,fatigue,fievre,jaunisse,nausees,perte_appetit,urine_foncee,vomissements,,,,,,,,hepatite
douleur_dos,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,,lombalgie
exophtalmie,fatigue,insomnie,nervosité,perte_de_poids,tremblements,,,,,,,,,,hyperthyroidie
confusion,maux_de_tete_intense,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,,,meningite
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
constipation,douleur_au_mouvement,fievre,nausees,vomissements,,,,,,,,,,,appendicite
anxiete,essoufflement,sifflement_respiratoire,toux_seche,,,,,,,,,,,,asthme
douleur_thoracique,essoufflement,expectorations,fievre,toux,,,,,,,,,,,bronchite
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,limitation_mouvement,perte_appetit,raideur_matinale,,,,,,,,,arthrite
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,,,,,,,,,,asthme
confusion,eruption_cutanee,fievre,photophobie,raideur_nuque,,,,,,,,,,,meningite
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,,,,,,,,,diabete_type2
confusion,eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,vomissements,,,,,,,,,meningite
diarrhee,douleurs_abdominales,fatigue,fievre,nausees,perte_appetit,vomissements,,,,,,,,,gastroenterite
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,vomissements,,,,,,,,,,ulcere_gastrique
douleur_dos,fatigue,irradiation_jambe,raideur_dos,spasmes_musculaires,,,,,,,,,,,lombalgie
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,perte_appetit,raideur_matinale,,,,,,,,,,arthrite
demangeaisons,douleurs_articulaires,inflammation,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,psoriasis
fatigue,oedemes_jambes,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,,,insuffisance_cardiaque
insomnie,nervosité,palpitations,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,hyperthyroidie
fatigue,jaunisse,nausees,perte_appetit,selles_decolorees,urine_foncee,vomissements,,,,,,,,,hepatite
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,,,,,,,,,,infarctus
essoufflement,fatigue,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,,,covid19
douleur_thoracique,fatigue,fievre,hemoptysie,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
difficulte_a_parler,essoufflement,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
abdomen_gonflé,essoufflement,fatigue,palpitations,toux_nocturne,vertiges,,,,,,,,,,insuffisance_cardiaque
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,,,,,,,,,,,angine
difficulte_a_avaler,fatigue,fievre,ganglions_gonfles,toux,,,,,,,,,,,angine
constipation,diarrhee,douleur_abdominale_droite,fievre,vomissements,,,,,,,,,,,appendicite
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
douleurs_musculaires,fatigue,fievre,maux_de_tete,perte_odorat,toux_seche,,,,,,,,,,covid19
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,sueurs_froides,,,,,,,,,,infarctus
confusion,eruption_cutanee,maux_de_tete_intense,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,,meningite
diarrhee,douleurs_abdominales,fatigue,fievre,nausees,vomissements,,,,,,,,,,gastroenterite
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
crampes,diarrhee,douleurs_abdominales,fievre,nausees,vomissements,,,,,,,,,,gastroenterite
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,avc
abdomen_gonflé,essoufflement,fatigue,palpitations,toux_nocturne,vertiges,,,,,,,,,,insuffisance_cardiaque
douleurs_musculaires,fatigue,fievre,frissons,mal_gorge,maux_de_tete,nez_qui_coule,toux,,,,,,,,grippe
bradycardie,cheveux_cassants,constipation,depression,frilosite,prise_de_poids,,,,,,,,,,hypothyroidie
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,toux,,,,,,,,,,,angine
cheveux_cassants,constipation,depression,fatigue,frilosite,oedemes,peau_seche,,,,,,,,,hypothyroidie
